emoji,name,shortname
🧛🏻‍♂,man_vampire:light_skin_tone,:man_vampire:light_skin_tone:
🧛🏼‍♂️,man_vampire:medium-light_skin_tone,:man_vampire:medium-light_skin_tone:
🧛🏼‍♂,man_vampire:medium-light_skin_tone,:man_vampire:medium-light_skin_tone:
🧛🏽‍♂️,man_vampire:medium_skin_tone,:man_vampire:medium_skin_tone:
🧛🏽‍♂,man_vampire:medium_skin_tone,:man_vampire:medium_skin_tone:
🧛🏾‍♂️,man_vampire:medium-dark_skin_tone,:man_vampire:medium-dark_skin_tone:
🧛🏾‍♂,man_vampire:medium-dark_skin_tone,:man_vampire:medium-dark_skin_tone:
🧛🏿‍♂️,man_vampire:dark_skin_tone,:man_vampire:dark_skin_tone:
🧛🏿‍♂,man_vampire:dark_skin_tone,:man_vampire:dark_skin_tone:
🧜,merperson,:merperson:
🧜🏻,merperson:light_skin_tone,:merperson:light_skin_tone:
🧜🏼,merperson:medium-light_skin_tone,:merperson:medium-light_skin_tone:
🧜🏽,merperson:medium_skin_tone,:merperson:medium_skin_tone:
🧜🏾,merperson:medium-dark_skin_tone,:merperson:medium-dark_skin_tone:
🧜🏿,merperson:dark_skin_tone,:merperson:dark_skin_tone:
🧜‍♀️,mermaid,:mermaid:
🧜‍♀,mermaid,:mermaid:
🧜🏻‍♀️,mermaid:light_skin_tone,:mermaid:light_skin_tone:
🧜🏻‍♀,mermaid:light_skin_tone,:mermaid:light_skin_tone:
🧜🏼‍♀️,mermaid:medium-light_skin_tone,:mermaid:medium-light_skin_tone:
🧜🏼‍♀,mermaid:medium-light_skin_tone,:mermaid:medium-light_skin_tone:
🧜🏽‍♀️,mermaid:medium_skin_tone,:mermaid:medium_skin_tone:
🧜🏽‍♀,mermaid:medium_skin_tone,:mermaid:medium_skin_tone:
🧜🏾‍♀️,mermaid:medium-dark_skin_tone,:mermaid:medium-dark_skin_tone:
🧜🏾‍♀,mermaid:medium-dark_skin_tone,:mermaid:medium-dark_skin_tone:
🧜🏿‍♀️,mermaid:dark_skin_tone,:mermaid:dark_skin_tone:
🧜🏿‍♀,mermaid:dark_skin_tone,:mermaid:dark_skin_tone:
🧜‍♂️,merman,:merman:
🧜‍♂,merman,:merman:
🧜🏻‍♂️,merman:light_skin_tone,:merman:light_skin_tone:
🧜🏻‍♂,merman:light_skin_tone,:merman:light_skin_tone:
🧜🏼‍♂️,merman:medium-light_skin_tone,:merman:medium-light_skin_tone:
🧜🏼‍♂,merman:medium-light_skin_tone,:merman:medium-light_skin_tone:
🧜🏽‍♂️,merman:medium_skin_tone,:merman:medium_skin_tone:
🧜🏽‍♂,merman:medium_skin_tone,:merman:medium_skin_tone:
🧜🏾‍♂️,merman:medium-dark_skin_tone,:merman:medium-dark_skin_tone:
🧜🏾‍♂,merman:medium-dark_skin_tone,:merman:medium-dark_skin_tone:
🧜🏿‍♂️,merman:dark_skin_tone,:merman:dark_skin_tone:
🧜🏿‍♂,merman:dark_skin_tone,:merman:dark_skin_tone:
🧝,elf,:elf:
🧝🏻,elf:light_skin_tone,:elf:light_skin_tone:
🧝🏼,elf:medium-light_skin_tone,:elf:medium-light_skin_tone:
🧝🏽,elf:medium_skin_tone,:elf:medium_skin_tone:
🧝🏾,elf:medium-dark_skin_tone,:elf:medium-dark_skin_tone:
🧝🏿,elf:dark_skin_tone,:elf:dark_skin_tone:
🧝‍♀️,woman_elf,:woman_elf:
🧝‍♀,woman_elf,:woman_elf:
🧝🏻‍♀️,woman_elf:light_skin_tone,:woman_elf:light_skin_tone:
🧝🏻‍♀,woman_elf:light_skin_tone,:woman_elf:light_skin_tone:
🧝🏼‍♀️,woman_elf:medium-light_skin_tone,:woman_elf:medium-light_skin_tone:
🧝🏼‍♀,woman_elf:medium-light_skin_tone,:woman_elf:medium-light_skin_tone:
🧝🏽‍♀️,woman_elf:medium_skin_tone,:woman_elf:medium_skin_tone:
🧝🏽‍♀,woman_elf:medium_skin_tone,:woman_elf:medium_skin_tone:
🧝🏾‍♀️,woman_elf:medium-dark_skin_tone,:woman_elf:medium-dark_skin_tone:
🧝🏾‍♀,woman_elf:medium-dark_skin_tone,:woman_elf:medium-dark_skin_tone:
🧝🏿‍♀️,woman_elf:dark_skin_tone,:woman_elf:dark_skin_tone:
🧝🏿‍♀,woman_elf:dark_skin_tone,:woman_elf:dark_skin_tone:
🧝‍♂️,man_elf,:man_elf:
🧝‍♂,man_elf,:man_elf:
🧝🏻‍♂️,man_elf:light_skin_tone,:man_elf:light_skin_tone:
🧝🏻‍♂,man_elf:light_skin_tone,:man_elf:light_skin_tone:
🧝🏼‍♂️,man_elf:medium-light_skin_tone,:man_elf:medium-light_skin_tone:
🧝🏼‍♂,man_elf:medium-light_skin_tone,:man_elf:medium-light_skin_tone:
🧝🏽‍♂️,man_elf:medium_skin_tone,:man_elf:medium_skin_tone:
🧝🏽‍♂,man_elf:medium_skin_tone,:man_elf:medium_skin_tone:
🧝🏾‍♂️,man_elf:medium-dark_skin_tone,:man_elf:medium-dark_skin_tone:
🧝🏾‍♂,man_elf:medium-dark_skin_tone,:man_elf:medium-dark_skin_tone:
🧝🏿‍♂️,man_elf:dark_skin_tone,:man_elf:dark_skin_tone:
🧝🏿‍♂,man_elf:dark_skin_tone,:man_elf:dark_skin_tone:
🧞,genie,:genie:
🧞‍♀️,woman_genie,:woman_genie:
🧞‍♀,woman_genie,:woman_genie:
🧞‍♂️,man_genie,:man_genie:
🧞‍♂,man_genie,:man_genie:
🧟,zombie,:zombie:
🧟‍♀️,woman_zombie,:woman_zombie:
🧟‍♀,woman_zombie,:woman_zombie:
🧟‍♂️,man_zombie,:man_zombie:
🧟‍♂,man_zombie,:man_zombie:
🙍,person_frowning,:person_frowning:
🙍🏻,person_frowning:light_skin_tone,:person_frowning:light_skin_tone:
🙍🏼,person_frowning:medium-light_skin_tone,:person_frowning:medium-light_skin_tone:
🙍🏽,person_frowning:medium_skin_tone,:person_frowning:medium_skin_tone:
🙍🏾,person_frowning:medium-dark_skin_tone,:person_frowning:medium-dark_skin_tone:
🙍🏿,person_frowning:dark_skin_tone,:person_frowning:dark_skin_tone:
🙍‍♂️,man_frowning,:man_frowning:
🙍‍♂,man_frowning,:man_frowning:
🙍🏻‍♂️,man_frowning:light_skin_tone,:man_frowning:light_skin_tone:
🙍🏻‍♂,man_frowning:light_skin_tone,:man_frowning:light_skin_tone:
🙍🏼‍♂️,man_frowning:medium-light_skin_tone,:man_frowning:medium-light_skin_tone:
🙍🏼‍♂,man_frowning:medium-light_skin_tone,:man_frowning:medium-light_skin_tone:
🙍🏽‍♂️,man_frowning:medium_skin_tone,:man_frowning:medium_skin_tone:
🙍🏽‍♂,man_frowning:medium_skin_tone,:man_frowning:medium_skin_tone:
🙍🏾‍♂️,man_frowning:medium-dark_skin_tone,:man_frowning:medium-dark_skin_tone:
🙍🏾‍♂,man_frowning:medium-dark_skin_tone,:man_frowning:medium-dark_skin_tone:
🙍🏿‍♂️,man_frowning:dark_skin_tone,:man_frowning:dark_skin_tone:
🙍🏿‍♂,man_frowning:dark_skin_tone,:man_frowning:dark_skin_tone:
🙍‍♀️,woman_frowning,:woman_frowning:
🙍‍♀,woman_frowning,:woman_frowning:
🙍🏻‍♀️,woman_frowning:light_skin_tone,:woman_frowning:light_skin_tone:
🙍🏻‍♀,woman_frowning:light_skin_tone,:woman_frowning:light_skin_tone:
🙍🏼‍♀️,woman_frowning:medium-light_skin_tone,:woman_frowning:medium-light_skin_tone:
🙍🏼‍♀,woman_frowning:medium-light_skin_tone,:woman_frowning:medium-light_skin_tone:
🙍🏽‍♀️,woman_frowning:medium_skin_tone,:woman_frowning:medium_skin_tone:
🙍🏽‍♀,woman_frowning:medium_skin_tone,:woman_frowning:medium_skin_tone:
🙍🏾‍♀️,woman_frowning:medium-dark_skin_tone,:woman_frowning:medium-dark_skin_tone:
🙍🏾‍♀,woman_frowning:medium-dark_skin_tone,:woman_frowning:medium-dark_skin_tone:
🙍🏿‍♀️,woman_frowning:dark_skin_tone,:woman_frowning:dark_skin_tone:
🙍🏿‍♀,woman_frowning:dark_skin_tone,:woman_frowning:dark_skin_tone:
🙎,person_pouting,:person_pouting:
🙎🏻,person_pouting:light_skin_tone,:person_pouting:light_skin_tone:
🙎🏼,person_pouting:medium-light_skin_tone,:person_pouting:medium-light_skin_tone:
🙎🏽,person_pouting:medium_skin_tone,:person_pouting:medium_skin_tone:
🙎🏾,person_pouting:medium-dark_skin_tone,:person_pouting:medium-dark_skin_tone:
🙎🏿,person_pouting:dark_skin_tone,:person_pouting:dark_skin_tone:
🙎‍♂️,man_pouting,:man_pouting:
🙎‍♂,man_pouting,:man_pouting:
🙎🏻‍♂️,man_pouting:light_skin_tone,:man_pouting:light_skin_tone:
🙎🏻‍♂,man_pouting:light_skin_tone,:man_pouting:light_skin_tone:
🙎🏼‍♂️,man_pouting:medium-light_skin_tone,:man_pouting:medium-light_skin_tone:
🙎🏼‍♂,man_pouting:medium-light_skin_tone,:man_pouting:medium-light_skin_tone:
🙎🏽‍♂️,man_pouting:medium_skin_tone,:man_pouting:medium_skin_tone:
🙎🏽‍♂,man_pouting:medium_skin_tone,:man_pouting:medium_skin_tone:
🙎🏾‍♂️,man_pouting:medium-dark_skin_tone,:man_pouting:medium-dark_skin_tone:
🙎🏾‍♂,man_pouting:medium-dark_skin_tone,:man_pouting:medium-dark_skin_tone:
🙎🏿‍♂️,man_pouting:dark_skin_tone,:man_pouting:dark_skin_tone:
🙎🏿‍♂,man_pouting:dark_skin_tone,:man_pouting:dark_skin_tone:
🙎‍♀️,woman_pouting,:woman_pouting:
🙎‍♀,woman_pouting,:woman_pouting:
🙎🏻‍♀️,woman_pouting:light_skin_tone,:woman_pouting:light_skin_tone:
🙎🏻‍♀,woman_pouting:light_skin_tone,:woman_pouting:light_skin_tone:
🙎🏼‍♀️,woman_pouting:medium-light_skin_tone,:woman_pouting:medium-light_skin_tone:
🙎🏼‍♀,woman_pouting:medium-light_skin_tone,:woman_pouting:medium-light_skin_tone:
🙎🏽‍♀️,woman_pouting:medium_skin_tone,:woman_pouting:medium_skin_tone:
🙎🏽‍♀,woman_pouting:medium_skin_tone,:woman_pouting:medium_skin_tone:
🙎🏾‍♀️,woman_pouting:medium-dark_skin_tone,:woman_pouting:medium-dark_skin_tone:
🙎🏾‍♀,woman_pouting:medium-dark_skin_tone,:woman_pouting:medium-dark_skin_tone:
🙎🏿‍♀️,woman_pouting:dark_skin_tone,:woman_pouting:dark_skin_tone:
🙎🏿‍♀,woman_pouting:dark_skin_tone,:woman_pouting:dark_skin_tone:
🙅,person_gesturing_NO,:person_gesturing_NO:
🙅🏻,person_gesturing_NO:light_skin_tone,:person_gesturing_NO:light_skin_tone:
🙅🏼,person_gesturing_NO:medium-light_skin_tone,:person_gesturing_NO:medium-light_skin_tone:
🙅🏽,person_gesturing_NO:medium_skin_tone,:person_gesturing_NO:medium_skin_tone:
🙅🏾,person_gesturing_NO:medium-dark_skin_tone,:person_gesturing_NO:medium-dark_skin_tone:
🙅🏿,person_gesturing_NO:dark_skin_tone,:person_gesturing_NO:dark_skin_tone:
🙅‍♂️,man_gesturing_NO,:man_gesturing_NO:
🙅‍♂,man_gesturing_NO,:man_gesturing_NO:
🙅🏻‍♂️,man_gesturing_NO:light_skin_tone,:man_gesturing_NO:light_skin_tone:
🙅🏻‍♂,man_gesturing_NO:light_skin_tone,:man_gesturing_NO:light_skin_tone:
🙅🏼‍♂️,man_gesturing_NO:medium-light_skin_tone,:man_gesturing_NO:medium-light_skin_tone:
🙅🏼‍♂,man_gesturing_NO:medium-light_skin_tone,:man_gesturing_NO:medium-light_skin_tone:
🙅🏽‍♂️,man_gesturing_NO:medium_skin_tone,:man_gesturing_NO:medium_skin_tone:
🙅🏽‍♂,man_gesturing_NO:medium_skin_tone,:man_gesturing_NO:medium_skin_tone:
🙅🏾‍♂️,man_gesturing_NO:medium-dark_skin_tone,:man_gesturing_NO:medium-dark_skin_tone:
